winery,vintage,year,region,rating,ratings_count,country_rank,region_rank,winery_rank,global_rank,foods,alcohol,drink_from,drink_until,style,body,body_desc,acidity,acidity_desc,grapes,price,highlights
Aalto,PS(PagosSeleccionados)RiberadelDuero,2004,RiberadelDuero,4.6,396,1,1,11,1,"['Beef', 'Lamb', 'Game (deer, venison)']",,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,,345,"[""Featured in Vivino's 2020 Wine Style Awards: Spanish Ribera Del Duero Red"", 'Oldest vintage available']"
Aalto,PS(PagosSeleccionados)RiberadelDuero,2019,RiberadelDuero,4.6,1077,1,1,7,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,136.95,"['98 by Gu&#237;a Vivir el Vino', 'Latest vintage available']"
Aalto,PS(PagosSeleccionados)RiberadelDuero,2018,RiberadelDuero,4.6,3231,1,1,4,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,84.9,"['Great value for money. Similar wines usually cost 2 times as much.', 'Cheapest vintage available']"
Aalto,PS(PagosSeleccionados)RiberadelDuero,2009,RiberadelDuero,4.5,732,1,1,23,1,"['Beef', 'Lamb', 'Game (deer, venison)']",,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,,345,[]
Aalto,PS(PagosSeleccionados)RiberadelDuero,2010,RiberadelDuero,4.6,1113,1,1,6,1,"['Beef', 'Lamb', 'Game (deer, venison)']",12.5,,,Spanish Ribera Del Duero Red,,,,,,265,[]
Aalto,Tinto,2019,RiberadelDuero,4.4,981,1,2,28,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,55.98,"['Latest vintage available', 'Cheapest vintage available']"
Aalto,Tinto,2016,RiberadelDuero,4.3,1878,1,3,39,1,"['Beef', 'Lamb', 'Game (deer, venison)']",14.5,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,63.5,[]
Aalto,Tinto,2018,RiberadelDuero,4.5,1858,1,1,20,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,2020,2030,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,63.5,"['This vintage rates better than any other year for this wine', 'Among top 1% of all wines in the world', 'Oldest vintage available']"
AbadiadePoblet,ConcaDeBarberaLaFontVoltada,2016,ConcadeBarber&#224;,4,45,12,15,14,11,"['Beef', 'Pasta', 'Veal', 'Poultry']",13,,,Spanish Red,4,Full-bodied,3,High,Trepat,50.76,[]
Abad&#237;aRetuerta,PagoGardu&#241;a,2015,CastillayLe&#243;n,4.3,299,1,2,9,1,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,2020,2027,Spanish Syrah,4,Full-bodied,3,High,Shiraz/Syrah,59.95,"[""Featured in Vivino's 2020 Wine Style Awards: Spanish Syrah"", '5 by Mundus Vini', 'Popular among Vivino users. More than 200 ratings', 'Latest vintage available']"
